"ksic1_cd","ksic1_nm","ksic2_cd","ksic2_nm","ksic3_cd","ksic3_nm","ksic4_cd","ksic4_nm","ksic5_cd","ksic5_nm","ksic_C"
"A","농업, 임업 및 어업 (01 ~ 03)","01","농업","011","작물 재배업","0111","곡물 및 기타 식량작물 재배업","01110","곡물 및 기타 식량작물 재배업","C9"
"A","농업, 임업 및 어업 (01 ~ 03)","01","농업","011","작물 재배업","0112","채소, 화훼작물 및 종묘 재배업","01121","채소작물 재배업","C9"
"A","농업, 임업 및 어업 (01 ~ 03)","01","농업","011","작물 재배업","0112","채소, 화훼작물 및 종묘 재배업","01122","화훼작물 재배업","C9"
"A","농업, 임업 및 어업 (01 ~ 03)","01","농업","011","작물 재배업","0112","채소, 화훼작물 및 종묘 재배업","01123","종자 및 묘목 생산업","C9"
"A","농업, 임업 및 어업 (01 ~ 03)","01","농업","011","작물 재배업","0113","과실, 음료용 및 향신용 작물 재배업","01131","과실작물 재배업","C9"
"A","농업, 임업 및 어업 (01 ~ 03)","01","농업","011","작물 재배업","0113","과실, 음료용 및 향신용 작물 재배업","01132","음료용 및 향신용 작물 재배업","C9"
"A","농업, 임업 및 어업 (01 ~ 03)","01","농업","011","작물 재배업","0114","기타 작물 재배업","01140","기타 작물 재배업","C9"
"A","농업, 임업 및 어업 (01 ~ 03)","01","농업","011","작물 재배업","0115","시설작물 재배업","01151","콩나물 재배업","C9"
"A","농업, 임업 및 어업 (01 ~ 03)","01","농업","011","작물 재배업","0115","시설작물 재배업","01152","채소, 화훼 및 과실작물 시설 재배업","C9"
"A","농업, 임업 및 어업 (01 ~ 03)","01","농업","011","작물 재배업","0115","시설작물 재배업","01159","기타 시설작물 재배업","C9"
"A","농업, 임업 및 어업 (01 ~ 03)","01","농업","012","축산업","0121","소 사육업","01211","젖소 사육업","C9"
"A","농업, 임업 및 어업 (01 ~ 03)","01","농업","012","축산업","0121","소 사육업","01212","육우 사육업","C9"
"A","농업, 임업 및 어업 (01 ~ 03)","01","농업","012","축산업","0122","양돈업","01220","양돈업","C9"
"A","농업, 임업 및 어업 (01 ~ 03)","01","농업","012","축산업","0123","가금류 및 조류 사육업","01231","양계업","C9"
"A","농업, 임업 및 어업 (01 ~ 03)","01","농업","012","축산업","0123","가금류 및 조류 사육업","01239","기타 가금류 및 조류 사육업","C9"
"A","농업, 임업 및 어업 (01 ~ 03)","01","농업","012","축산업","0129","기타 축산업","01291","말 및 양 사육업","C9"
"A","농업, 임업 및 어업 (01 ~ 03)","01","농업","012","축산업","0129","기타 축산업","01299","그외 기타 축산업","C9"
